time(s),acceleration(m/s2)
0.011875,3.896268
0.011914,-3.964871
0.011953,-2.227396
0.011992,-4.736352
0.012031,-0.879373
0.01207,1.775688
0.012109,-2.359577
0.012148,-0.00634
0.012187,-3.251885
0.012227,-5.207551
0.012266,-1.853675
0.012305,-1.244091
0.012344,-2.809017
0.012383,2.112178
0.012422,-0.879155
0.012461,3.49693
0.0125,3.142931
0.012539,-1.730036
0.012578,-1.524645
0.012617,5.052503
0.012656,2.230859
0.012695,1.213432
0.012734,0.531425
0.012773,-3.315911
0.012812,-0.634629
0.012852,0.528928
0.012891,1.596458
0.01293,0.42538
0.012969,-3.601997
0.013008,-3.85015
0.013047,-1.181504
0.013086,-2.813164
0.013125,-0.761514
0.013164,-0.923719
0.013203,-1.457638
0.013242,-2.556178
0.013281,-4.252462
0.01332,1.986587
0.013359,-0.627537
0.013398,-3.339641
0.013437,-0.348997
0.013477,-2.322123
0.013516,3.540709
0.013555,7.951225
0.013594,-6.549945
0.013633,4.896283
0.013672,-0.189802
0.013711,1.454494
0.01375,0.444787
0.013789,3.390009
0.013828,0.479853
0.013867,-3.259315
0.013906,-4.105269
0.013945,1.131873
0.013984,0.447707
0.014023,0.141543
0.014062,-4.673269
0.014102,0.145866
0.014141,-4.719967
0.01418,14.909077
0.014219,-12.246158
0.014258,-10.180716
0.014297,11.977205
0.014336,-3.464313
0.014375,3.544034
0.014414,0.133
0.014453,1.700538
0.014492,2.997146
0.014531,-2.629629
0.01457,4.647065
0.014609,9.477288
0.014648,-9.622136
0.014687,4.250152
0.014727,-0.517181
0.014766,6.363597
0.014805,-4.141067
0.014844,-1.193844
0.014883,7.33611
0.014922,1.16365
0.014961,-10.85987
0.015,0.768109
0.015039,6.463004
0.015078,1.682037
0.015117,-2.928357
0.015156,-6.283478
0.015195,-0.953483
0.015234,5.656173
0.015273,0.765159
0.015312,-0.165389
0.015352,-0.08117
0.015391,-4.837294
0.01543,3.223541
0.015469,2.149264
0.015508,2.183042
0.015547,-3.201317
0.015586,-9.297236
0.015625,4.289178
0.015664,4.856894
0.015703,1.025465
0.015742,-1.476677
0.015781,-3.510994
0.01582,-1.997706
0.015859,3.553689
0.015898,1.438865
0.015937,-0.902565
0.015977,-1.452421
0.016016,-5.192073
0.016055,8.794307
0.016094,-2.268883
0.016133,-11.59227
0.016172,6.090039
0.016211,3.693083
0.01625,4.325544
0.016289,-1.866722
0.016328,-4.822379
0.016367,1.159611
0.016406,4.208194
0.016445,0.863635
0.016484,2.136404
0.016523,-6.538222
0.016562,0.003618
0.016602,2.069398
0.016641,1.196836
0.01668,-6.994379
0.016719,6.283822
0.016758,-4.828128
0.016797,6.2954
0.016836,-1.64274
0.016875,-17.926216
0.016914,13.558835
0.016953,-3.994551
0.016992,7.730333
0.017031,-9.859365
0.01707,1.209762
0.017109,10.955322
0.017148,-8.090826
0.017187,2.611503
0.017227,-1.660073
0.017266,9.60592
0.017305,-9.313203
0.017344,2.79499
0.017383,-0.971966
0.017422,6.213575
0.017461,-0.923677
0.0175,-13.105049
0.017539,5.001306
0.017578,14.330376
0.017617,-8.598318
0.017656,-8.104864
0.017695,-2.066678
0.017734,3.511507
0.017773,5.980723
0.017812,-8.15088
0.017852,-4.699822
0.017891,3.953341
0.01793,3.192616
0.017969,-5.048677
0.018008,3.008646
0.018047,-0.840159
0.018086,1.246969
0.018125,-0.530984
0.018164,-0.797959
0.018203,0.643238
0.018242,2.618764
0.018281,-7.576103
0.01832,7.449567
0.018359,-6.867282
0.018398,17.162159
0.018437,-11.091803
0.018477,-14.660755
0.018516,13.966921
0.018555,-2.235515
0.018594,10.955594
0.018633,-7.261643
0.018672,-6.737325
0.018711,7.014438
0.01875,2.572422
0.018789,-1.991691
0.018828,1.709389
0.018867,-0.081236
0.018906,-0.216755
0.018945,2.495869
0.018984,-2.487986
0.019023,10.214222
0.019062,2.049966
0.019102,-16.800434
0.019141,10.784163
0.01918,2.95578
0.019219,4.549998
0.019258,-2.714362
0.019297,-13.984074
0.019336,4.416021
0.019375,7.35987
0.019414,-7.907079
0.019453,2.909602
0.019492,1.248849
0.019531,1.051571
0.01957,0.595203
0.019609,-5.445342
0.019648,0.240152
0.019687,0.955913
0.019727,0.048956
0.019766,2.18959
0.019805,-3.464102
0.019844,0.917673
0.019883,1.759673
0.019922,0.132299
0.019961,4.582664
0.02,-1.251129
0.020039,-3.148984
0.020078,-1.007231
0.020117,-1.782079
0.020156,-0.198073
0.020195,0.733612
0.020234,0.677566
0.020273,-0.01666
0.020312,-0.957988
0.020352,-1.427469
0.020391,-1.695925
0.02043,-1.861831
0.020469,-2.718879
0.020508,-3.002637
0.020547,-4.647779
0.020586,4.766459
0.020625,-0.876531
0.020664,-0.289221
0.020703,-0.352654
0.020742,1.444857
0.020781,-0.802342
0.02082,-6.036122
0.020859,2.385392
0.020898,-1.281824
0.020937,4.262359
0.020977,0.260284
0.021016,-4.573064
0.021055,6.370357
0.021094,6.161519
0.021133,0.09135
0.021172,1.740997
0.021211,-4.835782
0.02125,1.719171
0.021289,2.817178
0.021328,-5.441726
0.021367,5.218952
0.021406,-6.176079
0.021445,-0.612017
0.021484,10.337171
0.021523,-2.623323
0.021562,0.249335
0.021602,-2.106278
0.021641,-3.154135
0.02168,-4.289354
0.021719,4.304329
0.021758,-4.000977
0.021797,2.073793
0.021836,-0.893073
0.021875,-4.703099
0.021914,6.187849
0.021953,3.693839
0.021992,-10.274222
0.022031,2.940762
0.02207,0.897679
0.022109,1.413654
0.022148,-3.130108
0.022187,-0.365133
0.022227,2.263598
0.022266,-0.653946
0.022305,1.562885
0.022344,5.471501
0.022383,3.520739
0.022422,-4.560501
0.022461,-5.958306
0.0225,2.504654
0.022539,3.584572
0.022578,-4.833195
0.022617,-3.770822
0.022656,1.332808
0.022695,4.175237
0.022734,-0.101587
0.022773,-0.004937
0.022812,0.503771
0.022852,0.928398
0.022891,-3.666851
0.02293,3.462481
0.022969,-0.335478
0.023008,-2.43682
0.023047,0.794766
0.023086,1.66607
0.023125,-0.44425
0.023164,0.688159
0.023203,0.497701
0.023242,-0.241501
0.023281,-0.219258
0.02332,0.476141
0.023359,-1.03786
0.023398,-0.441082
0.023437,-3.27677
0.023477,1.751716
0.023516,1.300154
0.023555,0.07635
0.023594,-2.25664
0.023633,-4.396566
0.023672,2.368978
0.023711,0.915708
0.02375,-2.561552
0.023789,-2.102119
0.023828,0.991306
0.023867,-1.848614
0.023906,0.142081
0.023945,-0.147777
0.023984,-0.19375
0.024023,-0.339317
0.024062,-2.378906
0.024102,-0.356173
0.024141,1.795156
0.02418,-2.942214
0.024219,-3.419145
0.024258,2.259426
0.024297,-0.373446
0.024336,1.28799
0.024375,0.338301
0.024414,-0.046369
0.024453,-0.419534
0.024492,1.584051
0.024531,-2.296555
0.02457,-2.951476
0.024609,1.084086
0.024648,2.826428
0.024687,-1.486296
0.024727,-1.521828
0.024766,-1.107249
0.024805,0.608008
0.024844,-0.844591
0.024883,3.141033
0.024922,2.22456
0.024961,-6.299596
0.025,-5.081675
0.025039,-0.670548
0.025078,-0.206235
0.025117,2.25653
0.025156,-4.91999
0.025195,-0.673903
0.025234,0.797087
0.025273,0.424672
0.025312,0.573341
0.025352,-2.08068
0.025391,0.055208
0.02543,0.03048
0.025469,0.651091
0.025508,0.629531
0.025547,0.848115
0.025586,0.465428
0.025625,1.11518
0.025664,2.817341
0.025703,0.73473
0.025742,1.409053
0.025781,0.888955
0.02582,0.066858
0.025859,-0.437817
0.025898,0.156791
0.025937,-1.406127
0.025977,8.384408
0.026016,-0.179814
0.026055,-2.500525
0.026094,-2.173491
0.026133,6.659931
0.026172,-2.803092
0.026211,-5.370439
0.02625,6.661666
0.026289,2.775867
0.026328,-2.39627
0.026367,-0.661569
0.026406,4.090299
0.026445,2.869977
0.026484,0.951113
0.026523,-1.762678
0.026562,5.36146
0.026602,-2.45263
0.026641,-1.4175
0.02668,-3.19928
0.026719,9.505812
0.026758,-5.422899
0.026797,0.843683
0.026836,4.451311
0.026875,-0.605234
0.026914,-3.830652
0.026953,-0.275092
0.026992,0.329274
0.027031,-2.481874
0.02707,-0.750789
0.027109,-0.840044
0.027148,2.935914
0.027187,-1.672993
0.027227,0.149983
0.027266,-0.738927
0.027305,2.875648
0.027344,0.306959
0.027383,-1.776058
0.027422,0.30685
0.027461,0.970073
0.0275,-1.891571
0.027539,2.195932
0.027578,1.392892
0.027617,3.317996
0.027656,2.082082
0.027695,-3.190561
0.027734,-1.168046
0.027773,0.639725
0.027812,2.918725
0.027852,-6.317637
0.027891,6.532604
0.02793,0.273682
0.027969,-9.730823
0.028008,3.263021
0.028047,1.796063
0.028086,5.551851
0.028125,-1.527668
0.028164,0.099984
0.028203,-0.598275
0.028242,-0.862051
0.028281,3.194817
0.02832,-0.914161
0.028359,-0.439395
0.028398,0.119917
0.028437,-2.131369
0.028477,1.970892
0.028516,-2.88918
0.028555,0.545536
0.028594,-0.265406
0.028633,-2.93618
0.028672,2.073914
0.028711,-3.605721
0.02875,0.659259
0.028789,-3.950887
0.028828,-0.309215
0.028867,0.863483
0.028906,-0.277849
0.028945,3.978147
0.028984,-5.023374
0.029023,-12.646783
0.029062,20.892065
0.029102,-2.904844
0.029141,-10.905111
0.02918,6.120964
0.029219,-2.570652
0.029258,10.606855
0.029297,-7.911154
0.029336,3.96903
0.029375,-2.295128
0.029414,4.36127
0.029453,-2.735366
0.029492,0.240279
0.029531,7.096433
0.02957,-7.422283
0.029609,2.482774
0.029648,2.778799
0.029687,0.916857
0.029727,7.206159
0.029766,-5.041585
0.029805,-2.503204
0.029844,3.011179
0.029883,-1.975681
0.029922,2.450428
0.029961,-0.756303
0.03,2.380006
0.030039,0.731786
0.030078,-2.123092
0.030117,3.024365
0.030156,0.195732
0.030195,2.380048
0.030234,1.157338
0.030273,-1.471054
0.030312,0.552398
0.030352,1.824841
0.030391,0.96321
0.03043,-0.345895
0.030469,3.557879
0.030508,1.556778
0.030547,4.716375
0.030586,2.241016
0.030625,-1.563841
0.030664,-0.245969
0.030703,0.86147
0.030742,-1.448007
0.030781,5.170319
0.03082,0.124959
0.030859,-2.958012
0.030898,0.968815
0.030937,-0.116683
0.030977,1.121456
0.031016,1.709014
0.031055,-1.839122
0.031094,1.521422
0.031133,-10.929978
0.031172,6.652501
0.031211,7.402216
0.03125,-3.920422
0.031289,-3.009626
0.031328,2.17115
0.031367,-0.129766
0.031406,8.318834
0.031445,-1.75214
0.031484,-3.666047
0.031523,3.407167
0.031562,0.444479
0.031602,0.661702
0.031641,4.7658
0.03168,-0.75418
0.031719,-1.270379
0.031758,-0.081309
0.031797,-5.291141
0.031836,0.586727
0.031875,0.745643
0.031914,-0.927293
0.031953,-1.325596
0.031992,-2.395284
0.032031,2.051665
0.03207,1.485068
0.032109,-1.08191
0.032148,0.461159
0.032187,0.037892
0.032227,-9.052945
0.032266,-1.070441
0.032305,5.414072
0.032344,-1.187967
0.032383,1.108143
0.032422,0.413633
0.032461,-0.313949
0.0325,2.475373
0.032539,2.612573
0.032578,-4.864253
0.032617,-0.309251
0.032656,-5.327719
0.032695,1.035713
0.032734,-0.18843
0.032773,-5.547269
0.032812,6.113213
0.032852,2.612464
0.032891,-0.354952
0.03293,-0.832505
0.032969,4.696188
0.033008,4.143061
0.033047,-4.735378
0.033086,-2.899971
0.033125,1.71035
0.033164,-1.408951
0.033203,1.179581
0.033242,2.982491
0.033281,-1.141795
0.03332,-6.621927
0.033359,12.526033
0.033398,-12.624606
0.033437,1.938014
0.033477,3.132054
0.033516,-1.481822
0.033555,0.456171
0.033594,-0.087101
0.033633,6.426741
0.033672,-1.270778
0.033711,-0.023625
0.03375,1.1168
0.033789,2.434618
0.033828,6.624363
0.033867,-11.477428
0.033906,3.183348
0.033945,4.24855
0.033984,-0.766889
0.034023,2.192268
0.034062,2.542156
0.034102,-4.831417
0.034141,-0.953387
0.03418,4.625669
0.034219,2.570439
0.034258,-1.836323
0.034297,-1.368957
0.034336,-0.544037
0.034375,1.850839
0.034414,1.956388
0.034453,0.908943
0.034492,-1.018072
0.034531,1.766256
0.03457,3.498907
0.034609,1.477208
0.034648,-1.23235
0.034687,-2.578674
0.034727,1.299785
0.034766,2.489037
0.034805,2.619211
0.034844,-4.44101
0.034883,-1.109377
0.034922,-0.937141
0.034961,-0.776302
0.035,0.937515
0.035039,-2.917928
0.035078,-2.255697
0.035117,0.501352
0.035156,-0.888049
0.035195,4.68484
0.035234,-1.522916
0.035273,-3.095345
0.035312,5.860724
0.035352,-2.618728
0.035391,1.289018
0.03543,0.810007
0.035469,-2.485459
0.035508,4.467006
0.035547,-6.479716
0.035586,1.435842
0.035625,-0.495126
0.035664,0.666158
0.035703,-0.201386
0.035742,-4.472225
0.035781,-0.241809
0.03582,-2.697083
0.035859,-4.624442
0.035898,-0.339009
0.035937,1.815041
0.035977,2.329946
0.036016,-2.144319
0.036055,0.782843
0.036094,0.51021
0.036133,5.893704
0.036172,3.371164
0.036211,-1.056723
0.03625,1.764134
0.036289,-1.797339
0.036328,-2.343967
0.036367,0.779458
0.036406,4.171785
0.036445,-1.779661
0.036484,3.162937
0.036523,-0.096677
0.036562,1.115204
0.036602,-2.820456
0.036641,-1.586416
0.03668,-2.454897
0.036719,0.304341
0.036758,-0.92401
0.036797,0.735468
0.036836,0.503487
0.036875,-6.36098
0.036914,-0.312625
0.036953,10.144966
0.036992,0.605759
0.037031,-3.323202
0.03707,-7.553297
0.037109,5.045411
0.037148,2.101356
0.037187,4.543311
0.037227,-2.576256
0.037266,-10.846091
0.037305,7.11503
0.037344,6.481263
0.037383,-1.163814
0.037422,-2.245673
0.037461,-4.665337
0.0375,-3.66309
0.037539,4.541661
0.037578,6.750946
0.037617,-3.132025
0.037656,-12.999537
0.037695,7.981963
0.037734,1.601814
0.037773,4.769398
0.037812,-4.037742
0.037852,-0.740021
0.037891,2.9726
0.03793,-2.595923
0.037969,-1.645883
0.038008,0.325495
0.038047,3.575267
0.038086,3.10512
0.038125,-2.529207
0.038164,6.548983
0.038203,-5.319641
0.038242,7.744837
0.038281,9.950222
0.03832,-18.960039
0.038359,10.409922
0.038398,-3.450033
0.038437,2.253005
0.038477,8.375315
0.038516,-6.209083
0.038555,-7.409212
0.038594,8.342745
0.038633,2.66042
0.038672,-4.491281
0.038711,0.388887
0.03875,0.127275
0.038789,-5.888385
0.038828,5.445123
0.038867,-2.148122
0.038906,4.031279
0.038945,3.262972
0.038984,-7.010297
0.039023,7.354006
0.039062,-2.639236
0.039102,-0.615663
0.039141,4.294239
0.03918,-4.913339
0.039219,-1.796602
0.039258,-3.563073
0.039297,-1.211558
0.039336,1.03769
0.039375,-0.646013
0.039414,1.652201
0.039453,-7.293536
0.039492,2.191482
0.039531,-16.402849
0.03957,22.305335
0.039609,-8.487551
0.039648,-11.458746
0.039687,14.14007
0.039727,-7.203482
0.039766,4.531957
0.039805,-0.341609
0.039844,7.413455
0.039883,-4.492629
0.039922,-7.404024
0.039961,7.290657
0.04,4.712379
0.040039,-9.752806
0.040078,-2.374529
0.040117,9.221776
0.040156,-5.878155
0.040195,-2.250243
0.040234,4.261893
0.040273,0.025504
0.040312,-0.415423
0.040352,-1.369507
0.040391,-3.223233
0.04043,1.477474
0.040469,0.776924
0.040508,-7.189927
0.040547,8.263907
0.040586,0.266312
0.040625,-3.580153
0.040664,1.440903
0.040703,-5.06913
0.040742,-1.315082
0.040781,3.132605
0.04082,-1.834394
0.040859,-5.357809
0.040898,-0.664399
0.040937,0.392266
0.040977,-0.895866
0.041016,0.740601
0.041055,-0.101502
0.041094,-1.920645
0.041133,0.690801
0.041172,1.223619
0.041211,0.28783
0.04125,-1.341122
0.041289,0.7321
0.041328,-5.84353
0.041367,1.125138
0.041406,7.358951
0.041445,-0.851695
0.041484,-6.195256
0.041523,-2.58914
0.041562,5.138034
0.041602,2.78323
0.041641,-2.598547
0.04168,-8.454716
0.041719,1.700955
0.041758,0.139101
0.041797,2.974456
0.041836,-2.276476
0.041875,2.212117
0.041914,2.234003
0.041953,-6.692743
0.041992,3.960789
0.042031,4.872075
0.04207,-0.583541
0.042109,-3.755762
0.042148,4.56241
0.042187,-2.741412
0.042227,2.068122
0.042266,-2.223932
0.042305,-4.03403
0.042344,8.3826
0.042383,-2.638462
0.042422,-3.692637
0.042461,2.177371
0.0425,-1.308801
0.042539,-3.610503
0.042578,2.023872
0.042617,1.170687
0.042656,-0.862898
0.042695,-1.562275
0.042734,0.420102
0.042773,0.123303
0.042812,-0.052851
0.042852,-3.59849
0.042891,0.243404
0.04293,6.067125
0.042969,-7.263094
0.043008,1.143136
0.043047,-2.428416
0.043086,-2.055698
0.043125,2.091955
0.043164,1.286436
0.043203,0.094645
0.043242,-3.672969
0.043281,-1.61439
0.04332,-0.061158
0.043359,4.869971
0.043398,0.366704
0.043437,6.398766
0.043477,-11.664143
0.043516,2.720692
0.043555,2.515355
0.043594,-0.134791
0.043633,-4.730167
0.043672,4.631176
0.043711,4.949632
0.04375,-5.912502
0.043789,4.921694
0.043828,-7.951716
0.043867,7.574107
0.043906,-3.631785
0.043945,1.575938
0.043984,-2.175026
0.044023,-2.139349
0.044062,-1.166934
0.044102,-3.978589
0.044141,3.171867
0.04418,2.412514
0.044219,1.520164
0.044258,1.900252
0.044297,-0.260291
0.044336,-1.914702
0.044375,-1.656143
0.044414,0.576334
0.044453,-2.039526
0.044492,1.342766
0.044531,1.191721
0.04457,1.469603
0.044609,-9.486297
0.044648,2.205116
0.044687,2.884928
0.044727,-0.944584
0.044766,-2.323773
0.044805,-5.578122
0.044844,-1.019843
0.044883,-1.53638
0.044922,2.275895
0.044961,-3.177025
0.045,5.255959
0.045039,-0.582157
0.045078,-0.633365
0.045117,-2.298629
0.045156,-1.034903
0.045195,-0.202408
0.045234,17.557306
0.045273,-19.079923
0.045312,1.814007
0.045352,7.326255
0.045391,-0.201936
0.04543,8.266386
0.045469,-6.695639
0.045508,3.884357
0.045547,-3.945071
0.045586,2.385713
0.045625,-4.192922
0.045664,-0.692107
0.045703,6.112227
0.045742,-3.891438
0.045781,3.684468
0.04582,1.367977
0.045859,-1.710085
0.045898,6.982945
0.045937,-4.550882
0.045977,3.372076
0.046016,-0.510259
0.046055,-1.526471
0.046094,0.798254
0.046133,-1.24174
0.046172,1.447783
0.046211,-2.382437
0.04625,2.701762
0.046289,2.781876
0.046328,-0.66744
0.046367,2.927594
0.046406,-4.650663
0.046445,-1.884455
0.046484,0.169723
0.046523,2.690166
0.046562,-0.612664
0.046602,-2.76016
0.046641,-1.051397
0.04668,1.183493
0.046719,0.158097
0.046758,-1.926449
0.046797,-0.864724
0.046836,-1.042721
0.046875,-2.032791
0.046914,-0.795885
0.046953,-0.070662
0.046992,1.101045
0.047031,1.701837
0.04707,0.359661
0.047109,-2.609539
0.047148,-2.657706
0.047187,1.355263
0.047227,4.335115
0.047266,0.819088
0.047305,-3.894322
