time(s),acceleration(m/s2),,
0.009922,-0.618093,,
0.009961,-1.736518,,
0.01,0.404159,,
0.010039,-0.268072,,
0.010078,-0.8469,,
0.010117,-0.66854,,
0.010156,-1.081916,,
0.010195,-0.020118,,
0.010234,1.472873,,
0.010273,0.535953,,
0.010312,-1.541447,,
0.010352,-0.848642,,
0.010391,1.220856,,
0.01043,-0.365641,,
0.010469,0.083515,,
0.010508,-0.306833,,
0.010547,-1.53612,,
0.010586,0.189167,,
0.010625,-0.067155,,
0.010664,0.138169,,
0.010703,-0.45558,,
0.010742,-0.401161,,
0.010781,-1.52242,,
0.01082,-0.244578,,
0.010859,0.732892,,
0.010898,-0.863424,,
0.010937,-1.28345,,
0.010977,0.647578,,
0.011016,0.733364,,
0.011055,0.128744,,
0.011094,0.188653,,
0.011133,0.223937,,
0.011172,-0.631231,,
0.011211,-0.554902,,
0.01125,0.539309,,
0.011289,1.04483,,
0.011328,-0.390532,,
0.011367,-3.456351,,
0.011406,-0.321077,,
0.011445,0.544429,,
0.011484,1.007714,,
0.011523,0.387823,,
0.011562,-0.953096,,
0.011602,-2.310817,,
0.011641,0.333603,,
0.01168,1.283462,,
0.011719,0.083956,,
0.011758,-0.247214,,
0.011797,-2.783509,,
0.011836,-0.849089,,
0.011875,1.701287,,
0.011914,1.954381,,
0.011953,0.207915,,
0.011992,0.035135,,
0.012031,0.466425,,
0.01207,1.846322,,
0.012109,1.389114,,
0.012148,1.131776,,
0.012187,-0.225074,,
0.012227,-0.069694,,
0.012266,-0.322002,,
0.012305,0.155733,,
0.012344,2.64464,,
0.012383,-2.342074,,
0.012422,-3.094849,,
0.012461,0.841108,,
0.0125,0.576987,,
0.012539,-1.912344,,
0.012578,-1.243481,,
0.012617,0.944843,,
0.012656,-2.380212,,
0.012695,-3.440148,,
0.012734,-0.135764,,
0.012773,1.774352,,
0.012812,0.921566,,
0.012852,0.028406,,
0.012891,-2.316899,,
0.01293,0.045933,,
0.012969,0.907655,,
0.013008,-0.041194,,
0.013047,0.314069,,
0.013086,0.082269,,
0.013125,-1.541338,,
0.013164,-2.194996,,
0.013203,-0.227293,,
0.013242,0.206857,,
0.013281,0.056429,,
0.01332,0.04421,,
0.013359,-1.580576,,
0.013398,-1.710816,,
0.013437,0.909051,,
0.013477,0.352037,,
0.013516,-1.114129,,
0.013555,-1.43941,,
0.013594,-1.453382,,
0.013633,-0.581389,,
0.013672,0.543595,,
0.013711,0.757408,,
0.01375,1.237531,,
0.013789,-0.238587,,
0.013828,-0.613045,,
0.013867,0.18982,,
0.013906,0.943948,,
0.013945,0.11271,,
0.013984,0.519974,,
0.014023,-1.471623,,
0.014062,-0.517943,,
0.014102,0.7932,,
0.014141,0.703158,,
0.01418,-0.669399,,
0.014219,0.480035,,
0.014258,0.986741,,
0.014297,-2.353398,,
0.014336,-0.054386,,
0.014375,1.511609,,
0.014414,-1.431121,,
0.014453,-2.453385,,
0.014492,-0.480277,,
0.014531,-0.599303,,
0.01457,0.829227,,
0.014609,0.253314,,
0.014648,-0.768165,,
0.014687,-0.95589,,
0.014727,1.124473,,
0.014766,-0.276047,,
0.014805,-2.205679,,
0.014844,0.564369,,
0.014883,2.26835,,
0.014922,-1.559723,,
0.014961,0.106894,,
0.015,0.777813,,
0.015039,-0.768709,,
0.015078,1.910838,,
0.015117,0.875902,,
0.015156,-0.696769,,
0.015195,-0.363289,,
0.015234,-0.101508,,
0.015273,-0.111671,,
0.015312,0.102287,,
0.015352,1.405105,,
0.015391,-0.934445,,
0.01543,-2.215183,,
0.015469,0.598661,,
0.015508,0.986741,,
0.015547,-0.297498,,
0.015586,0.417315,,
0.015625,-0.621128,,
0.015664,-1.652939,,
0.015703,-0.425501,,
0.015742,1.364658,,
0.015781,1.235052,,
0.01582,-1.107575,,
0.015859,-0.725287,,
0.015898,0.134421,,
0.015937,-0.147801,,
0.015977,1.404331,,
0.016016,-0.392152,,
0.016055,-1.076687,,
0.016094,-1.446695,,
0.016133,0.041792,,
0.016172,0.21465,,
0.016211,0.958984,,
0.01625,-1.444888,,
0.016289,-1.127992,,
0.016328,1.143209,,
0.016367,0.034936,,
0.016406,-0.792904,,
0.016445,0.068847,,
0.016484,-0.44483,,
0.016523,-1.534585,,
0.016562,-0.208817,,
0.016602,-0.054568,,
0.016641,-0.926688,,
0.01668,0.813623,,
0.016719,-0.99861,,
0.016758,0.223924,,
0.016797,-0.547973,,
0.016836,-1.277422,,
0.016875,0.476093,,
0.016914,-0.21531,,
0.016953,0.657524,,
0.016992,-0.342987,,
0.017031,0.042699,,
0.01707,0.302001,,
0.017109,0.875829,,
0.017148,0.105322,,
0.017187,0.112674,,
0.017227,0.070189,,
0.017266,0.183701,,
0.017305,0.80245,,
0.017344,-0.405574,,
0.017383,0.145697,,
0.017422,1.077514,,
0.017461,1.316351,,
0.0175,0.694186,,
0.017539,0.114155,,
0.017578,-0.702077,,
0.017617,-0.156665,,
0.017656,2.230738,,
0.017695,-0.988217,,
0.017734,0.184983,,
0.017773,0.328023,,
0.017812,-0.340212,,
0.017852,0.490113,,
0.017891,0.028914,,
0.01793,-0.897118,,
0.017969,0.308114,,
0.018008,-0.48145,,
0.018047,-1.000744,,
0.018086,-1.050556,,
0.018125,0.141724,,
0.018164,-0.568674,,
0.018203,0.334564,,
0.018242,0.429134,,
0.018281,-1.324327,,
0.01832,0.003455,,
0.018359,-1.017116,,
0.018398,1.296001,,
0.018437,0.699168,,
0.018477,-1.091154,,
0.018516,-1.246552,,
0.018555,1.871981,,
0.018594,0.116501,,
0.018633,1.235445,,
0.018672,0.031133,,
0.018711,0.453596,,
0.01875,0.007663,,
0.018789,-0.471523,,
0.018828,-0.226749,,
0.018867,1.675483,,
0.018906,-0.303622,,
0.018945,-2.423041,,
0.018984,1.915282,,
0.019023,-1.466169,,
0.019062,-0.416142,,
0.019102,0.6601,,
0.019141,0.073841,,
0.01918,-0.47983,,
0.019219,-0.136018,,
0.019258,-1.347881,,
0.019297,-1.143022,,
0.019336,1.033028,,
0.019375,-0.241936,,
0.019414,1.608356,,
0.019453,0.828484,,
0.019492,0.909444,,
0.019531,1.753173,,
0.01957,2.127009,,
0.019609,0.297866,,
0.019648,2.282123,,
0.019687,1.629341,,
0.019727,2.67487,,
0.019766,2.725571,,
0.019805,0.437792,,
0.019844,0.640813,,
0.019883,-0.231978,,
0.019922,1.154436,,
0.019961,1.03509,,
0.02,0.399491,,
0.020039,-0.681914,,
0.020078,-1.605551,,
0.020117,-1.63517,,
0.020156,-1.12327,,
0.020195,0.160219,,
0.020234,-0.565748,,
0.020273,-0.057421,,
0.020312,-1.549512,,
0.020352,-1.575715,,
0.020391,1.872247,,
0.02043,-0.95988,,
0.020469,-0.864597,,
0.020508,1.984834,,
0.020547,-9.45E-06,,
0.020586,-0.845667,,
0.020625,1.96539,,
0.020664,-0.906652,,
0.020703,0.88179,,
0.020742,0.40018,,
0.020781,0.196942,,
0.02082,0.627712,,
0.020859,0.200557,,
0.020898,-0.793721,,
0.020937,-0.616654,,
0.020977,0.595687,,
0.021016,1.409797,,
0.021055,0.698896,,
0.021094,0.533426,,
0.021133,-0.183956,,
0.021172,0.477072,,
0.021211,-0.081151,,
0.02125,1.646681,,
0.021289,1.457269,,
0.021328,0.910732,,
0.021367,1.238625,,
0.021406,0.917044,,
0.021445,0.232431,,
0.021484,2.014253,,
0.021523,0.747124,,
0.021562,-0.123702,,
0.021602,0.022911,,
0.021641,-1.897701,,
0.02168,0.683999,,
0.021719,0.144941,,
0.021758,-0.54729,,
0.021797,0.138816,,
0.021836,-0.348477,,
0.021875,-0.437938,,
0.021914,-0.403869,,
0.021953,1.312718,,
0.021992,-0.262425,,
0.022031,-1.507015,,
0.02207,-0.038697,,
0.022109,-1.224049,,
0.022148,-0.969934,,
0.022187,0.892516,,
0.022227,0.089851,,
0.022266,0.083563,,
0.022305,0.667717,,
0.022344,0.061882,,
0.022383,-0.019296,,
0.022422,-0.594412,,
0.022461,1.060471,,
0.0225,-0.974596,,
0.022539,0.933985,,
0.022578,0.635995,,
0.022617,-0.034024,,
0.022656,1.007944,,
0.022695,1.297464,,
0.022734,0.925774,,
0.022773,2.060147,,
0.022812,1.808856,,
0.022852,0.77031,,
0.022891,-1.362349,,
0.02293,0.291203,,
0.022969,2.312787,,
0.023008,0.654253,,
0.023047,-0.50515,,
0.023086,0.969855,,
0.023125,1.195016,,
0.023164,0.346275,,
0.023203,1.439917,,
0.023242,1.231062,,
0.023281,1.177707,,
0.02332,0.428324,,
0.023359,-0.195104,,
0.023398,-0.069646,,
0.023437,0.397357,,
0.023477,0.244994,,
0.023516,0.184046,,
0.023555,-0.254409,,
0.023594,0.164904,,
0.023633,0.3748,,
0.023672,0.416045,,
0.023711,-0.118201,,
0.02375,-0.927528,,
0.023789,-0.174059,,
0.023828,0.473958,,
0.023867,-0.669774,,
0.023906,0.016,,
0.023945,0.619495,,
0.023984,-0.253224,,
0.024023,0.274353,,
0.024062,0.612827,,
0.024102,0.637337,,
0.024141,-0.350248,,
0.02418,-0.000644,,
0.024219,-1.342301,,
0.024258,0.212322,,
0.024297,0.765733,,
0.024336,1.274036,,
0.024375,1.053742,,
0.024414,-0.625076,,
0.024453,-0.058643,,
0.024492,0.264783,,
0.024531,0.540107,,
0.02457,0.574774,,
0.024609,-0.553209,,
0.024648,-1.875773,,
0.024687,-1.593526,,
0.024727,0.047003,,
0.024766,0.47732,,
0.024805,0.094137,,
0.024844,0.38061,,
0.024883,-1.460238,,
0.024922,-0.026182,,
0.024961,-0.578009,,
0.025,0.784198,,
0.025039,1.356466,,
0.025078,-2.704453,,
0.025117,-0.260962,,
0.025156,0.632917,,
0.025195,-0.59689,,
0.025234,2.057765,,
0.025273,-0.715505,,
0.025312,0.831797,,
0.025352,1.070719,,
0.025391,-1.897175,,
0.02543,-0.49512,,
0.025469,1.622286,,
0.025508,0.294087,,
0.025547,1.352947,,
0.025586,-0.998096,,
0.025625,-0.600355,,
0.025664,1.34938,,
0.025703,-3.191426,,
0.025742,-0.270896,,
0.025781,1.019921,,
0.02582,0.527803,,
0.025859,-2.823019,,
0.025898,-1.005508,,
0.025937,-1.192357,,
0.025977,-0.401269,,
0.026016,1.795174,,
0.026055,1.114987,,
0.026094,-0.388761,,
